NAME,BANNED,SCOPE,ORG,YEAR,GROUPS_NO,GROUPS_MEMS,HIGHER_MEMS,VIO_MEMS,VIO_MEM_DIFF,HIGHER_VIO_MEMS,VIO_FR_CRIME,FR_HOMOCIDES,FR_PROP_CRIME,LOCATION,REGION,LAT,LON,SIZE,ELECT_CAMPAIGN,CRIME_ASS,CRIME_ACTS,VIO_CRIME_ASS,129StGB,INTERNATIONAL_LINKS,BAN_LINK,APABIZ_SOURCES,NOTES,CLASS,VFS1990,VFS1991,VFS1992,VFS1993,VFS1994,VFS1995,VFS1996,VFS1997,VFS1998,VFS1999,VFS2000,VFS2001,VFS2002,VFS2003,VFS2004,VFS2005,VFS2006,VFS2007,VFS2008,VFS2009,VFS2010,VFS2011,VFS2012,VFS2013,VFS2014,VFS2015,VFS2016,VFS2017,VFS2018,VFS2019,VFS2020,VFS2021,VFS2022,FIRST,LAST,BAN_DATE,SHORT_NAME,BAN,VIO_LEVEL,VIO_LEVEL_1stYEAR,VIO_LEVEL_lastYEAR,RMEM_DIFF,HOM,PROP,LINK,NNOV,PARTY,YMON,BAN_LINKS,B_LINKS_AUTO,SPD_BMI,SPD_VFS,PROP_trendline,PROP_trend_diff
THÜGIDA,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Suhl,Thüringen,50.6086518,10.6926437,,,,,,,,Members,,"led by NPD and EA (Europäischer Aktion) individuals, David Köckert and Christian Bärthel",anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,2015-01-01,2017-01-01,,THÜGIDA,0,1408,1408,1600,1300,0,12154,0.25,0,0,2,Members,0.25,0,0,12679.09,-525.08999
PEGIDA Franken,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Würzburg,Bayern,49.79245,9.932966,,,,,,,,None,,,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,PEGIDA Franken,0,1408,1408,1408,1300,0,12154,0,0,0,1,None,0,0,0,12679.09,-525.08999
MVGIDA,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Schwerin,Mecklenburg-Vorpommern,53.6288297,11.4148038,,,,,,,,None,,led by NPD members,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,MVGIDA,0,1408,1408,1408,1300,0,12154,0,0,0,1,None,0,0,0,12679.09,-525.08999
Magida 2.0,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Magdeburg,Sachsen-Anhalt,52.1315889,11.6399609,,,,,,,,None,https://www.endstation-rechts.de/news/magdeburg-trauermarsch-comeback-gescheitert,"led by NPD member Gustav Haenschke, participants included Peter Walde, Sigrdi Schüßler, Denis Ronser, Matthias Fischer",anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,Magida 2.0,0,1408,1408,1408,1300,0,12154,0,0,0,1,None,0,0,0,12679.09,-525.08999
DÜGIDA,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Düsseldorf,Nordrhein-Westfalen,51.2254018,6.7763137,,,,,,,,None,,led by Melanie Dittmer,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,DÜGIDA,0,1408,1408,1408,1300,0,12154,0,0,0,1,None,0,0,0,12679.09,-525.08999
KÖGIDA,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Köln,Nordrhein-Westfalen,50.938361,6.959974,,,,,,,,None,,,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,KÖGIDA,0,1408,1408,1408,1300,0,12154,0,0,0,1,None,0,0,0,12679.09,-525.08999
LEGIDA,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Leipzig,Sachsen,51.3406321,12.3747329,,,,,,,,None,,,Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,LEGIDA,0,1408,1408,1408,1300,0,12154,0,0,0,1,None,0,0,0,12679.09,-525.08999
PEGIDA,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Dresden,Sachsen,51.0493286,13.7381437,,,,,,,,Members,,,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,2015-01-01,2017-01-01,,PEGIDA,0,1408,1408,1600,1300,0,12154,0.25,0,0,2,Members,0.25,0,0,12679.09,-525.08999
Bürgerwehr FTL/360,0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Freital,Sachsen,51.016265,13.6530329,,,,,,YES (2015),,Members,,"members of Gruppe Freital active in FTL/360 (VfS2018, p56)",Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,,2015-01-01,2016-01-01,2015-11-30,Bürgerwehr FTL/360,1,1408,1408,1408,1300,0,12154,0.25,1,0,2,Members,0.25,0,0,12679.09,-525.08999
Deutsche Widerstands Bewegung (DWB),0,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Berlin,Berlin,52.5170365,13.3888599,,,"YES: (VfS2015, p54)",Arson,YES,,,None,https://www.linksfraktion.berlin/fileadmin/linksfraktion/ka/2017/S18-10648.pdf,,Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,2015-01-01,2016-01-01,,Deutsche Widerstands Bewegung,0,1408,1408,1408,1300,0,12154,0,1,0,1,None,0,0,0,12679.09,-525.08999
Oldschool Society,1,national,association,2015,,22600,1,11800,1300,1,1408,0,12154,München,Bayern,48.1371079,11.5753822,,,"YES: (VfS2017, p55)",,YES,YES (2015),,None,,"Markus W. (fünf Jahre Haft) und Andreas H. (viereinhalb Jahre Haft) verurteilt. Denise G. erhielt eine Haftstrafe von drei Jahren und zehn Monaten, Olaf O.",Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,,,,,2015-01-01,2016-01-01,2015-05-06,Oldschool Society,1,1408,1408,1408,1300,0,12154,0,1,0,4,None,0,0,0,12679.09,-525.08999
Sturm 18 e.V.,1,regional,association,2015,,22600,1,11800,1300,1,1408,0,12154,Kassel,Hessen,51.3154546,9.4924096,,,,,,,,Leader,,"led by Bernd Tödter (used to be in HNG, and led AD Jail Crew)","Gewaltbereit, Skinheads",,,,,,,,,,,,,yes (band?),,,,,,,,,,,,,,,,,,,,,,,2015-10-29,Sturm 18 e.V.,1,1408,1408,1408,1300,0,12154,0.75,1,0,0,Leader,0.75,0,0,12679.09,-525.08999
Antikapitalistisches Kollektiv (AKK),0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Frankfurt,Hessen,50.1106444,8.6820917,,,,,,,,Members,,,Gewaltbereit; neo-Nazis,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,2016-01-01,2018-01-01,,Antikapitalistisches Kollektiv,0,1600,1600,1054,300,0,12476,0.25,1,0,2,Members,0.25,0,0,13049.142,-573.14223
Brigade Halle,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Halle,Sachsen-Anhalt,51.4825041,11.9705452,,,,,,,,Members,https://hosenrunter.noblogs.org/personen/brigade-halle-bhs/,"Torsten Kahle, Tom Köppe, Thomas Scharf, Thomas Lorr, Steve Pötzsch, Stefan Woitschach, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,2016-01-01,2017-01-01,,Brigade Halle,0,1600,1600,1600,300,0,12476,0.25,1,0,1,Members,0.25,0,0,13049.142,-573.14223
Europa Terra Nostra e.V. (ETN),0,national,association,2016,,23100,1,12100,300,1,1600,1,12476,Berlin,Berlin,52.5170365,13.3888599,,,,,,,1,None,https://www.apabiz.de/2016/europa-terra-nostra-etn/,"Dan Eriksson (Vorsitzender), Konstantinos Boviatsos (Golden Dawn[1], Stellvertreter seit Juni 2016), Oliver Niedrich (NPD Berlin, Stellvertreter bis Juni 2016), Susann Starke (Schatzmeisterin)",,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,,,,,2016-01-01,2019-01-01,,Europa Terra Nostra e.V.,0,1600,1600,1088,300,0,12476,0,0,0,3,None,0,0,0,13049.142,-573.14223
Freie Kameradschaft Dresden (FKD),0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Dresden,Sachsen,51.0493286,13.7381437,,,"YES: (VfS2017, p55)",,YES,YES (2016),,Members,https://www.antifainfoblatt.de/artikel/hartes-urteil-gegen-mitglieder-der-%E2%80%9Egruppe-freital%E2%80%9C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,2016-01-01,2018-01-01,2017-08-25,Freie Kameradschaft Dresden,1,1600,1600,1054,300,0,12476,0.25,1,0,2,Members,0.25,0,0,13049.142,-573.14223
Identitäre Bewegung Deutschland (IBD),0,national,association,2016,,23100,1,12100,300,1,1600,1,12476,Paderborn,Nordrhein-Westfalen,51.7189596,8.7648698,"500 (2021), 575 (2020), 600 (2018), 500 (2017), 300 (2016)",,,,,,,None,,,Neue Rechte,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,2016-01-01,2023-01-01,,Identitäre Bewegung Deutschland,0,1600,1600,1016,300,0,12476,0,0,0,7,None,0,0,0,13049.142,-573.14223
Nauener Gruppe,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Nauen,Brandenburg,52.6061065,12.8772599,,,,"YES (VfS2016, 44)",arson,YES (2016),,None,https://dserver.bundestag.de/btd/18/125/1812517.pdf,led by Maik Schneider,Rechtsterrorismus,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,yes,,,,,,2016-01-01,2017-01-01,2016-07-18,Nauener Gruppe,1,1600,1600,1600,300,0,12476,0,1,0,1,None,0,0,0,13049.142,-573.14223
NÜGIDA,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Nürnberg,Bayern,49.453872,11.077298,,,,,,,,None,https://www.nordbayern.de/region/nuernberg/nugida-demo-marschiert-ex-npd-mann-biller-mit-1.4163382,led by Rainer Biller,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,2016-01-01,2017-01-01,,NÜGIDA,0,1600,1600,1600,300,0,12476,0,0,0,1,None,0,0,0,13049.142,-573.14223
PEGIDA NRW,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Köln,Nordrhein-Westfalen,50.938361,6.959974,,,,,,,,Members,https://de.indymedia.org/node/158358,led by Kevin Strenzke,anti-asyl-agitation,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,2016-01-01,2017-01-01,,PEGIDA NRW,0,1600,1600,1600,300,0,12476,0.25,0,0,1,Members,0.25,0,0,13049.142,-573.14223
Amt für Menschenrecht,0,national,association,2016,,23100,1,12100,300,1,1600,1,12476,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,None,,"Also referred to as „Gerichthof der Menschen“, „Internationales Zentrum für Menschenrechte“ (IZMR).",Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,YES,YES,YES,,,2016-01-01,2021-01-01,,Amt für Menschenrecht,0,1600,1600,1023,300,0,12476,0,0,0,4,None,0,0,0,13049.142,-573.14223
Exilregierung Deutsches Reich,0,national,association,2016,,23100,1,12100,300,1,1600,1,12476,Hannover,Niedersachsen,52.3744779,9.7385532,,,,,,,,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,YES,,,,,2016-01-01,2019-01-01,,Exilregierung Deutsches Reich,0,1600,1600,1088,300,0,12476,0,0,0,2,None,0,0,0,13049.142,-573.14223
Koenigreich Deutschland (KRD),0,national,association,2016,,23100,1,12100,300,1,1600,1,12476,Lutherstadt Wittenberg,Sachsen-Anhalt,51.89758753,12.60669197,,,,,,,,None,,lecture meetings and paid seminars,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,YES,YES,YES,2016-01-01,2023-01-01,,Koenigreich Deutschland,0,1600,1600,1016,300,0,12476,0,0,0,4,None,0,0,0,13049.142,-573.14223
Staatenbund Deutschland,0,national,association,2016,,23100,1,12100,300,1,1600,1,12476,München,Bayern,48.1371079,11.5753822,,,,,,YES (2018),,None,,"Also referred to as Staatenbundes Deutsches Reich, Deutsches Reich, or 2. Deutsches Reich",Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,2016-01-01,2019-01-01,2018-03-31,Staatenbund Deutschland,1,1600,1600,1088,300,0,12476,0,0,0,7,None,0,0,0,13049.142,-573.14223
Bundesstaat Bayern,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,München,Bayern,48.1371079,11.5753822,,,,,,,,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,2016-01-01,2018-01-01,,Bundesstaat Bayern,0,1600,1600,1054,300,0,12476,0,0,0,2,None,0,0,0,13049.142,-573.14223
Freistaat Preussen,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Königsfeld,Rheinland-Pfalz,50.4986886,7.1768998,,,,,,,,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,,yes,,,2016-01-01,2019-01-01,,Freistaat Preussen,0,1600,1600,1088,300,0,12476,0,0,0,3,None,0,0,0,13049.142,-573.14223
Bundesstaat Baden,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Karlsruhe,Baden-Württemberg,49.0068705,8.4034195,,,,,,,,None,,Republik Baden,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,yes,,,2016-01-01,2018-01-01,,Bundesstaat Baden,0,1600,1600,1054,300,0,12476,0,0,0,2,None,0,0,0,13049.142,-573.14223
Bundesstaat Württemberg,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Rottenburg,Baden-Württemberg,48.47696,8.9336788,,,,,,,,None,,Freier Volksstaat Württemberg,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,yes,,,2016-01-01,2018-01-01,,Bundesstaat Württemberg,0,1600,1600,1054,300,0,12476,0,0,0,2,None,0,0,0,13049.142,-573.14223
Bundesstaat Sachsen,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Dresden,Sachsen,51.0493286,13.7381437,,,,,,,,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,yes,,,2016-01-01,2018-01-01,,Bundesstaat Sachsen,0,1600,1600,1054,300,0,12476,0,0,0,2,None,0,0,0,13049.142,-573.14223
Staat Ur,0,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Reuden,Sachsen-Anhalt,52.06493445,12.29964253,,,,,,,,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,2016-01-01,2017-01-01,,Staat Ur,0,1600,1600,1600,300,0,12476,0,0,0,1,None,0,0,0,13049.142,-573.14223
Verein zur Förderung des Rechtssachverstandes in der Bevölkerung,0,national,association,2016,,23100,1,12100,300,1,1600,1,12476,Gräfenthal,Thüringen,50.525919,11.3058452,,,,,,,,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,2016-01-01,2017-01-01,,VzFdRidB,0,1600,1600,1600,300,0,12476,0,0,0,1,None,0,0,0,13049.142,-573.14223
Altermedia Deutschland,1,national,media,2016,,23100,1,12100,300,1,1600,1,12476,Stuttgart,Baden-Württemberg,48.7784485,9.1800132,,,"YES (VfS2011, 104): Zwei Betreiber der Plattform wurden am 26. Oktober 2011 durch das Landgericht Rostock u.a. wegen Volksverhetzung und der Aufforderung zu Straftaten rechtskräftig zu Freiheitsstrafen von zwei Jahren und sechs Monaten bzw. zwei Jahren und drei Monaten verurteilt.",,,,,None,,formerly Störtebeker-Netz; explains site acquiring greater importance in 2012; Axel Möller,Antisemitismus,,,,,,,,,,,,,,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,,yes,,,,,2007-01-01,2017-01-01,2016-01-27,Altermedia Deutschland,1,1600,980,1600,300,0,12476,0,0,0,8,None,0,0,0,13049.142,-573.14223
Gruppe Freital,1,regional,association,2016,,23100,1,12100,300,1,1600,1,12476,Freital,Sachsen,51.016265,13.6530329,,,,,,YES (2016),,Members,https://www.antifainfoblatt.de/artikel/hartes-urteil-gegen-mitglieder-der-%E2%80%9Egruppe-freital%E2%80%9C,"led by Timo Schulz; also Justin S., Patrick Festing, Philipp Wendlin, Maria Kleinert, Mike Seidel, Sebastian Weiß, Rico Knobloch",Rechtsterrorismus,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,yes,yes,,,yes,,2016-01-01,2017-01-01,2016-11-30,Gruppe Freital,1,1600,1600,1600,300,0,12476,0.25,1,0,1,Members,0.25,0,0,13049.142,-573.14223
Weisse Wölfe Terrorcrew,1,national,association,2016,,23100,1,12100,300,1,1600,1,12476,Schwerin,Mecklenburg-Vorpommern,53.6288297,11.4148038,70 (2016),,,,,YES (2015),,None,,,neo-Nazis; Rechtsterrorismus,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,,,,,,,2013-01-01,2017-01-01,2016-03-16,Weisse Wölfe Terrorcrew,1,1600,801,1600,300,0,12476,0,1,0,4,None,0,0,0,13049.142,-573.14223
Autonome Nationalisten Berlin (AN Berlin),0,regional,association,2017,,24000,1,12700,600,1,1054,0,11894,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,Members,,dissolved itself on 30 August 2017; was a sub-group of AKK,neo-Nazis,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,2017-01-01,2018-01-01,,Autonome Nationalisten Berlin,0,1054,1054,1054,600,1,11894,0.25,1,0,1,Members,0.25,0,0,13419.194,-1525.19446
Kameradschaft Aryans,0,national,association,2017,,24000,1,12700,600,1,1054,0,11894,"Halle, Aschaffenburg, Darmstadt",,52.26783438,12.04679343,15 (2018),,,,,YES (2018),,Members,,founded Dec 2016. A member was previously part of OSS. Einer der Beschuldigten war kurzzeitig Mitglied der „Oldschool Society“ (OSS) und Teilnehmer der OSS-Gründungsveranstaltung im November 2014 in Borna (Sachsen).,Gewaltbereit; neo-Nazis,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,2017-01-01,2019-01-01,2018-07-31,Kameradschaft Aryans,1,1054,1054,1088,600,1,11894,0.25,1,0,2,Members,0.25,0,0,13419.194,-1525.19446
Kaotic Chemnitz,0,regional,association,2018,,24100,1,12700,0,0,1088,0,12404,Chemnitz,Sachsen,50.8322608,12.9252977,,,,,,,,Members,https://www.der-rechte-rand.de/archive/3938/chemnitz-fussballszene/,,Hooligans/ultras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,2018-01-01,2019-01-01,,Kaotic Chemnitz,0,1088,1088,1088,0,0,12404,0.25,1,0,1,Members,0.25,0,0,13789.247,-1385.2467
Bürgerbewegung pro Chemnitz,0,regional,association,2018,,24100,1,12700,0,0,1088,0,12404,Chemnitz,Sachsen,50.8322608,12.9252977,,,,,,,,None,,"links to Pro Chemnitz (VfS2022, p.99)",Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,YES,2018-01-01,2023-01-01,,Bürgerbewegung pro Chemnitz,0,1088,1088,1088,0,0,12404,0,1,0,2,None,0,0,0,13789.247,-1385.2467
Revolution Chemnitz,0,regional,association,2018,,24100,1,12700,0,0,1088,0,12404,Chemnitz,Sachsen,50.8322608,12.9252977,,,,,,YES (2018),,Both,https://de.wikipedia.org/wiki/Sturm_34,,Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,yes,,,2018-01-01,2019-01-01,2018-10-01,Revolution Chemnitz,1,1088,1088,1088,0,0,12404,1,1,0,2,Both,1,0,0,13789.247,-1385.2467
Stiftung 36 Grad,0,regional,association,2018,,24100,1,12700,0,0,1088,0,12404,Berlin,Berlin,52.5170365,13.3888599,,,,,,,,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,2018-01-01,2019-01-01,,Stiftung 36 Grad,0,1088,1088,1088,0,0,12404,0,0,0,1,None,0,0,0,13789.247,-1385.2467
Freie Bürger Union (FBU) – Landesverband Saarland,0,regional,party,2018,,24100,1,12700,0,0,1088,0,12404,Saarbrücken,Saarland,49.234362,6.996379,,,,,,,,None,,,Rechtsextremistische,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,2018-01-01,2020-01-01,,Freie Bürger Union – Saarland,0,1088,1088,925,0,0,12404,0,0,1,2,None,0,0,0,13789.247,-1385.2467
Deutsche Konservative,0,regional,party,2019,,32080,1,13000,300,1,925,2,13988,Berlin,"Bayern, Berlin",52.5170365,13.3888599,,,,,,,,None,,,Rechtsextremistische,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,2019-01-01,2020-01-01,,Deutsche Konservative,0,925,925,925,300,0,13988,0,0,1,1,None,0,0,0,14159.299,-171.29894
National Socialist Knights of the Ku Klux Klan,0,national,association,2019,,32080,1,13000,300,1,925,2,13988,Mayen,"Rheinland-Pfalz, Baden-Württemberg",50.3283544,7.2215134,,,,,,YES (2019),,Both,,https://dserver.bundestag.de/btd/20/022/2002208.pdf,neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,2019-01-01,2020-01-01,2019-04-17,National Socialist Knights of the KKK,1,925,925,925,300,0,13988,1,1,0,1,Both,1,0,0,14159.299,-171.29894
Schnelle Eingreiftruppe,0,regional,association,2019,,32080,1,13000,300,1,925,2,13988,Cottbus,Brandenburg,51.7567447,14.3357307,,,,,,YES (2019),,None,,,Hooligans/ultras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,2019-01-01,2020-01-01,2019-09-30,Schnelle Eingreiftruppe,1,925,925,925,300,0,13988,0,1,0,1,None,0,0,0,14159.299,-171.29894
Phalanx 18,1,regional,association,2019,,32080,1,13000,300,1,925,2,13988,Bremen,Bremen,53.0758196,8.8071646,,,,,,,,None,,"led by Michael Osterloh, Nicolai Salander and Andree Gliege",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-20,Phalanx 18,1,925,925,925,300,0,13988,0,1,0,0,None,0,0,0,14159.299,-171.29894
Aryan Circle,0,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Bad Segeberg,Schleswig-Holstein,53.9422672,10.3137943,,,,,,YES (2020),,Leader,,"led by Bernd Tödter (used to be in HNG, and led AD Jail Crew)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,2020-01-01,2021-01-01,2020-10-14,Aryan Circle,1,1023,1023,1023,300,1,13425,0.75,1,0,1,Leader,0.75,0,0,14529.351,-1104.35117
Bismarks Erben,0,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Teterow,Mecklenburg-Vorpommern,53.7709505,12.5753569,,,,,,,,None,,"also known as Ewiger Bund and Preußisches Institut, includes Vaterlaendischer Hilfsdienst",Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,2020-01-01,2023-01-01,,Bismarks Erben,0,1023,1023,1016,300,1,13425,0,0,0,3,None,0,0,0,14529.351,-1104.35117
Ein Prozent e.V.,0,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Dresden,Sachsen,51.0493286,13.7381437,,,,,,,,None,,founded in 2015,Rechtsextremistische Verdachtsfälle; Neue Rechte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,2020-01-01,2023-01-01,,Ein Prozent e.V.,0,1023,1023,1016,300,1,13425,0,0,0,3,None,0,0,0,14529.351,-1104.35117
Goyim Partei Deutschland (GPD),0,national,party,2020,,33300,1,13300,300,1,1023,1,13425,Berlin,Berlin,52.5170365,13.3888599,,,,,,YES (2020),,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,YES,2020-01-01,2021-01-01,2020-07-16,Goyim Partei Deutschland,1,1023,1023,1023,300,1,13425,0,0,1,2,None,0,0,0,14529.351,-1104.35117
Gruppe S,0,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Mickhausen,Bayern,48.2409342,10.639933,,,,,,YES (2020),,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,yes,,2020-01-01,2021-01-01,2020-02-14,Gruppe S,1,1023,1023,1023,300,1,13425,0,1,0,1,None,0,0,0,14529.351,-1104.35117
Institut für Staatspolitik (IfS),0,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Schnellroda,Sachsen-Anhalt,51.2949459,11.7129472,,,,,,,,None,https://www.apabiz.de/archiv/material/Profile/IfS.htm,,Rechtsextremistische Verdachtsfälle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,2020-01-01,2023-01-01,,Institut für Staatspolitik,0,1023,1023,1016,300,1,13425,0,0,0,3,None,0,0,0,14529.351,-1104.35117
Uniter,0,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Stuttgart,Baden-Württemberg,48.7784485,9.1800132,,,,,,,,None,,,Rechtsextremistische Verdachtsfälle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,2020-01-01,2021-01-01,,Uniter,0,1023,1023,1023,300,1,13425,0,0,0,1,None,0,0,0,14529.351,-1104.35117
Combat 18 Deutschland,1,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Kassel,Hessen,51.3154546,9.4924096,,,"YES (VfS2003, p39-40)","Bildung einer kriminellen Vereinigung for C18-Pinneberg, 2003; vandalism 2003; ",YES,YES (2003),1,Leader,,"Thorsten Heise; no evidence of terrorist activity (VfS2003, p39); fanzine 'Stormer'",Gewaltbereit,,,,,,,,,,,,,YES,YES,YES,,,,,,,,,,,,,YES,,,yes,,yes,2017-01-01,2021-01-01,2020-01-23,Combat 18 Deutschland,1,1023,772,1023,300,1,13425,0.75,1,0,4,Leader,0.75,0,0,14529.351,-1104.35117
Geeinte deutsche Völker und Stämme (and Osnabrücker Landmark),1,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Berlin,Berlin,52.5170365,13.3888599,,,,,,YES (2019),,None,,,Reichsbürger,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,yes,YES,yes,2017-01-01,2021-01-01,2020-03-19,Geeinte deutsche Völker und Stämme,1,1023,1054,1023,300,1,13425,0,0,0,4,None,0,0,0,14529.351,-1104.35117
"Nordadler (aka Voelkische Gemeinschaft, Voelkische Renaissance, Voelkische Jugend and Voelkische Revolution)",1,national,association,2020,,33300,1,13300,300,1,1023,1,13425,Mackenrode,Thueringen,51.3050457,10.0676811,,,,,,YES (2018),,None,,,Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,yes,,,2018-01-01,2021-01-01,2020-06-23,Nordadler,1,1023,1088,1023,300,1,13425,0,1,0,2,None,0,0,0,14529.351,-1104.35117
Wolfsbrigade 44/Sturmbrigade 44,1,national,association,2020,,33300,1,13300,300,1,1023,1,13425,,Sachsen-Anhalt,52.0089065,11.7003344,,,,,,YES (2019),,None,,David Köckert,Gewaltbereit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,yes,,,2019-01-01,2021-01-01,2020-12-01,Wolfsbrigade 44/Sturmbrigade 44,1,1023,925,1023,300,1,13425,0,1,0,1,None,0,0,0,14899.403,-3033.40341
